Transect_id,year,Analysis type,Basal_cm,Canopy_cm,Total_cm,Transect_cm,Code,Status,Full_name,RevBI,FS_BAND,TRT,PctC,Growth_form,Origin
1HAS1,1997,entire,4600,0,4600,5000,grav,live,Gravel,High,FS,Seeded,0,B,
1HAS1,1997,entire,125,0,125,5000,soil,live,Soil,High,FS,Seeded,0,B,
1HAS1,1997,entire,83,0,83,5000,pipo,dead,Pinus ponderosa,High,FS,Seeded,0,T,
1HAS1,1997,entire,59,0,59,5000,litt,live,Litter,High,FS,Seeded,0,L,
1HAS1,1997,entire,34,48,82,5000,wood,live,Dead wood,High,FS,Seeded,1,L,
1HAS1,1997,entire,29,644,673,5000,brca2,live,bromus carinatus,High,FS,Seeded,13,G,
1HAS1,1997,entire,19,0,19,5000,rock,live,Rock,High,FS,Seeded,0,B,
1HAS1,1997,entire,15,660,675,5000,lomu,live,Lolium multiflorum,High,FS,Seeded,13,G,
1HAS1,1997,entire,11,111,122,5000,brin,live,Bromus inermis,High,FS,Seeded,2,G,
1HAS1,1997,entire,11,0,11,5000,root,live,"Tree root, exposed, living",High,FS,Seeded,0,T,
1HAS1,1997,entire,6,78,84,5000,eltr,live,Elymus trachycaulum,High,FS,Seeded,2,G,
1HAS1,1997,entire,3,205,208,5000,quga,live,Quercus gambellii,High,FS,Seeded,4,S,
1HAS1,1997,entire,3,24,27,5000,mumo,live,Muhlenbergia montana,High,FS,Seeded,0,G,
1HAS1,1997,entire,2,259,261,5000,casp,live,Carex spp.,High,FS,Seeded,5,G,
1HAS1,1997,entire,0,19,19,5000,gras2,live,Unidentified grass,High,FS,Seeded,0,G,
1HAS1,1997,entire,0,43,43,5000,oeho,live,Oenothera hookeri,High,FS,Seeded,1,F,
1HAS1,1997,entire,0,56,56,5000,geca,live,Geranium caespitosum,High,FS,Seeded,1,F,
1HAS1,1997,entire,0,118,118,5000,lomu,dead,Lolium multiflorum,High,FS,Seeded,2,G,
1HAS1,1997,entire,0,5,5,5000,spcr,live,Sporobolus cryptandrus,High,FS,Seeded,0,G,
1HAS1,1997,entire,0,69,69,5000,cisp,live,Cirsium spp.,High,FS,Seeded,1,F,
1HAS1,1997,entire,0,38,38,5000,limu,live,Lithospermum multiflorum,High,FS,Seeded,1,F,
1HAS1,1997,entire,0,1,1,5000,cisp,dead,Cirsium spp.,High,FS,Seeded,0,F,
1HAS1,1997,entire,0,14,14,5000,chgr,live,Chenopodium graveolens,High,FS,Seeded,0,F,
1HAS1,1997,entire,0,21,21,5000,cefe,live,Ceanothus fendleri,High,FS,Seeded,0,U,
1HAS1,1997,entire,0,11,11,5000,rone,live,Robinia neomexicana,High,FS,Seeded,0,S,
1HAS1,1997,entire,0,12,12,5000,cosc,live,Conyza schiedeana,High,FS,Seeded,0,F,
1HAS1,1997,entire,0,1,1,5000,muwo,live,Muhlenbergia wolfii,High,FS,Seeded,0,G,
1HAS1,1997,entire,0,18,18,5000,chal,live,Chenopodium album,High,FS,Seeded,0,F,
1HAS1,1998,entire,3446,0,3446,5000,grav,live,Gravel,High,FS,Seeded,0,B,
1HAS1,1998,entire,936,0,936,5000,litt,live,Litter,High,FS,Seeded,0,L,
1HAS1,1998,entire,354,0,354,5000,soil,live,Soil,High,FS,Seeded,0,B,
1HAS1,1998,entire,58,402,460,5000,brca2,live,bromus carinatus,High,FS,Seeded,8,G,
1HAS1,1998,entire,44,356,400,5000,casp,live,Carex spp.,High,FS,Seeded,7,G,
1HAS1,1998,entire,36,34,70,5000,wood,live,Dead wood,High,FS,Seeded,1,L,
1HAS1,1998,entire,24,0,24,5000,pipo,dead,Pinus ponderosa,High,FS,Seeded,0,T,
1HAS1,1998,entire,23,153,176,5000,brin,live,Bromus inermis,High,FS,Seeded,3,G,
1HAS1,1998,entire,19,114,133,5000,eltr,live,Elymus trachycaulum,High,FS,Seeded,2,G,
1HAS1,1998,entire,19,0,19,5000,rock,live,Rock,High,FS,Seeded,0,B,
1HAS1,1998,entire,9,24,33,5000,mumo,live,Muhlenbergia montana,High,FS,Seeded,0,G,
1HAS1,1998,entire,6,0,6,5000,root,live,"Tree root, exposed, living",High,FS,Seeded,0,T,
1HAS1,1998,entire,6,17,23,5000,gras,live,Unidentified grass,High,FS,Seeded,0,G,
1HAS1,1998,entire,5,78,83,5000,lomu,live,Lolium multiflorum,High,FS,Seeded,2,G,
1HAS1,1998,entire,4,45,49,5000,oeho,live,Oenothera hookeri,High,FS,Seeded,1,F,
1HAS1,1998,entire,4,101,105,5000,cefe,live,Ceanothus fendleri,High,FS,Seeded,2,U,
1HAS1,1998,entire,3,44,47,5000,chgr,live,Chenopodium graveolens,High,FS,Seeded,1,F,
1HAS1,1998,entire,2,0,2,5000,shit,live,Animal feces,High,FS,Seeded,0,L,
1HAS1,1998,entire,2,33,35,5000,lomu,dead,Lolium multiflorum,High,FS,Seeded,1,G,
1HAS1,1998,entire,0,67,67,5000,chfr,live,Chenopodium fremontii,High,FS,Seeded,1,F,
1HAS1,1998,entire,0,13,13,5000,brca2,dead,bromus carinatus,High,FS,Seeded,0,G,
1HAS1,1998,entire,0,22,22,5000,geca,live,Geranium caespitosum,High,FS,Seeded,0,F,
1HAS1,1998,entire,0,1,1,5000,brca,live,Brickellia californica,High,FS,Seeded,0,U,
1HAS1,1998,entire,0,267,267,5000,quga,live,Quercus gambellii,High,FS,Seeded,5,S,
1HAS1,1998,entire,0,39,39,5000,limu,live,Lithospermum multiflorum,High,FS,Seeded,1,F,
1HAS1,1998,entire,0,4,4,5000,cisp,dead,Cirsium spp.,High,FS,Seeded,0,F,
1HAS1,1998,entire,0,2,2,5000,coca,live,Conyza canadensis,High,FS,Seeded,0,F,
1HAS1,1998,entire,0,1,1,5000,lase,live,Lactuca serriola,High,FS,Seeded,0,F,
1HAS1,1998,entire,0,6,6,5000,veth,live,Verbascum thapsus,High,FS,Seeded,0,F,
1HAS1,1998,entire,0,110,110,5000,rone,live,Robinia neomexicana,High,FS,Seeded,2,S,
